"title","author","genre","rating","img","numRater","type","price"
"Sapiens","Yuval Noah Harari","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/71N3-FFSDxL._AC_UL200_SR200,200_.jpg","5603","Paperback","15.46"
"The Uninhabitable Earth","David Wallace-Wells","Science & Math","4.4","https://images-na.ssl-images-amazon.com/images/I/71IZCCbZvyL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","12","Kindle Edition","13.99"
"Black Holes and Baby Universes","Stephen Hawking","Science & Math","4.4","https://images-na.ssl-images-amazon.com/images/I/51gAIhg5%2BtL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","82","Kindle Edition","3.99"
"The Undoing Project","Michael Lewis","Science & Math","4.2","https://images-na.ssl-images-amazon.com/images/I/71eVtcZlPPL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1381","Kindle Edition","9.61"
"Sapiens","Yuval Noah Harari","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/71ZR6hn%2BGbL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","5603","Kindle Edition","14.99"
"Feeding You Lies","Vani Hari","Science & Math","4.9","https://images-na.ssl-images-amazon.com/images/I/71jr3V089BL._AC_UL200_SR200,200_.jpg","82","Hardcover","16.79"
"Digital Minimalism","Cal Newport","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/81K12jWK7-L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","54","Kindle Edition","13.99"
"Digital Minimalism","Cal Newport","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/919gg66Nx-L._AC_UL200_SR200,200_.jpg","54","Audible Audiobook"," Free with Audible trial"
"Digital Minimalism","Cal Newport","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/81K12jWK7-L._AC_UL200_SR200,200_.jpg","54","Hardcover","15.6"
"Outliers","Malcolm Gladwell","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/61jTKFVrRnL._AC_UL200_SR200,200_.jpg","5147","Audible Audiobook"," Free with Audible trial"
"Astrophysics for People in a Hurry","Neil de Grasse Tyson","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/91ZCU63G3QL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","3789","Kindle Edition","9.99"
"Misbehaving","Richard H. Thaler","Science & Math","4.4","https://images-na.ssl-images-amazon.com/images/I/81%2BN1JnGx9L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","404","Kindle Edition","10.61"
"The Plant Paradox Quick and Easy","Dr. Steven R Gundry M.D.","Science & Math","4.0","https://images-na.ssl-images-amazon.com/images/I/71BJlfO2ZqL._AC_UL200_SR200,200_.jpg","35","Paperback","12.78"
"The Truth About Men","DeVon Franklin","Science & Math","4.6","https://images-na.ssl-images-amazon.com/images/I/81wvfiSa5nL._AC_UL200_SR200,200_.jpg","30","Hardcover","15.6"
"There's No Place Like Space","Tish Rabe","Science & Math","4.7","https://images-na.ssl-images-amazon.com/images/I/91BdqQL%2BuJL._AC_UL200_SR200,200_.jpg","801","Hardcover","6"
"Thinking, Fast and Slow","Daniel Kahneman","Science & Math","4.5","https://images-na.ssl-images-amazon.com/images/I/51oXKWrcYYL._AC_UL200_SR200,200_.jpg","3072","Paperback","9.49"
"The Untethered Soul","Michael A. Singer","Science & Math","4.7","https://images-na.ssl-images-amazon.com/images/I/61iqFXsfUkL._AC_UL200_SR200,200_.jpg","4872","Paperback","16.16"
"The Uninhabitable Earth","David Wallace-Wells","Science & Math","4.4","https://images-na.ssl-images-amazon.com/images/I/71Hv8gqWJOL._AC_UL200_SR200,200_.jpg","12","Audible Audiobook"," Free with Audible trial"
